"","cbio","wbio","pbic","amac","unavp","porg","amm","nit","pmn","pmc"
"cbio",NA,0.0017255851090312,0.789402803147172,0.47152931209441,0.7410594517689,0.807365072751211,0.295919883566996,4.11565885207743e-05,0.696907848579437,0.36050060424598
"wbio",0.0017255851090312,NA,0.605771776242758,0.59963262895698,0.569192735612586,0.154731408997222,0.0248253950053241,0.475385830048251,0.829907918265167,0.18723279975478
"pbic",0.789402803147172,0.605771776242758,NA,0.734041889139888,0.000115694776439579,0.018498609102108,0.301512161312337,0.203461693415866,0.206208389063683,0.779225688507935
"amac",0.47152931209441,0.59963262895698,0.734041889139888,NA,0.2176443426993,0.113375014438801,0.651851165432682,0.940470837631293,0.197704658756206,0.0427304026009447
"unavp",0.7410594517689,0.569192735612586,0.000115694776439579,0.2176443426993,NA,0,0.483736232134568,0.981827283667006,0.884128830086471,0.181636007528905
"porg",0.807365072751211,0.154731408997222,0.018498609102108,0.113375014438801,0,NA,0.826517162588732,0.574409362789018,0.812912188418929,0.330635119475729
"amm",0.295919883566996,0.0248253950053241,0.301512161312337,0.651851165432682,0.483736232134568,0.826517162588732,NA,0.0231552401210222,0.0468625628680464,0.000772276505011771
"nit",4.11565885207743e-05,0.475385830048251,0.203461693415866,0.940470837631293,0.981827283667006,0.574409362789018,0.0231552401210222,NA,0.0536853330671228,0.608127788238814
"pmn",0.696907848579437,0.829907918265167,0.206208389063683,0.197704658756206,0.884128830086471,0.812912188418929,0.0468625628680464,0.0536853330671228,NA,0.00272381595542392
"pmc",0.36050060424598,0.18723279975478,0.779225688507935,0.0427304026009447,0.181636007528905,0.330635119475729,0.000772276505011771,0.608127788238814,0.00272381595542392,NA
