"","cbio","wbio","pbic_percbio","amac_percbio","unavp_percbio","porg_percbio","inorgcarbon_percbio","amm_percbio","nit_percbio","pmn_percbio","pmc_percbio"
"cbio",1,0.275134936740432,-0.584380862530037,-0.830601469896455,-0.587308637431002,-0.605955059180162,-0.555515447499793,-0.624569332295464,-0.56331352829941,-0.352899886771607,-0.526174705745109
"wbio",0.275134936740432,1,-0.128333533581351,-0.220808369272089,-0.110956125726779,-0.110502441838425,-0.0555859600694848,-0.0245429960713214,-0.151199130061728,-0.0417108112149523,-0.0578892527565815
"pbic_percbio",-0.584380862530037,-0.128333533581351,1,0.771067865316764,0.433785422824946,0.719399722337683,0.372435374286111,0.527629166447983,0.63816106562499,0.170894057967565,0.299227470770578
"amac_percbio",-0.830601469896455,-0.220808369272089,0.771067865316764,1,0.621912721043762,0.768611888561703,0.631699364679657,0.72661948232838,0.659414577574276,0.319307949390852,0.561134591186929
"unavp_percbio",-0.587308637431002,-0.110956125726779,0.433785422824946,0.621912721043762,1,0.251380260960163,0.232229020424625,0.635935469694509,0.293298168628,0.302901354038903,0.329039817843069
"porg_percbio",-0.605955059180162,-0.110502441838425,0.719399722337683,0.768611888561703,0.251380260960163,1,0.65163682298964,0.511279457868802,0.775283882931145,0.208821907344661,0.400175377392989
"inorgcarbon_percbio",-0.555515447499793,-0.0555859600694848,0.372435374286111,0.631699364679657,0.232229020424625,0.65163682298964,1,0.384722441883235,0.471548871517535,0.314952305209423,0.548289199183597
"amm_percbio",-0.624569332295464,-0.0245429960713214,0.527629166447983,0.72661948232838,0.635935469694509,0.511279457868802,0.384722441883235,1,0.447276743835102,0.352276780036658,0.455935153044525
"nit_percbio",-0.56331352829941,-0.151199130061728,0.63816106562499,0.659414577574276,0.293298168628,0.775283882931145,0.471548871517535,0.447276743835102,1,0.24841925259386,0.319156764097622
"pmn_percbio",-0.352899886771607,-0.0417108112149523,0.170894057967565,0.319307949390852,0.302901354038903,0.208821907344661,0.314952305209423,0.352276780036658,0.24841925259386,1,0.475772898617938
"pmc_percbio",-0.526174705745109,-0.0578892527565815,0.299227470770578,0.561134591186929,0.329039817843069,0.400175377392989,0.548289199183597,0.455935153044525,0.319156764097622,0.475772898617938,1
