"","ftrt","ctrt","caco3","pbic","unavp"
"1","Compost","All Mixture","5.35 ± 0.18 ab","27.02 ± 6.28 a","32.04 ± 12.97 c"
"2","Compost","Buckwheat","5.37 ± 0.43 ab","29.93 ± 10.01 a","54.32 ± 22 bc"
"3","Compost","Buckwheat Oat","3.76 ± 2.19 ab","31.97 ± 9.26 a","103.01 ± 39.1 abc"
"4","Compost","Faba Bean","2.98 ± 2.41 ab","29.36 ± 7 a","108.69 ± 32.5 abc"
"5","Compost","Faba Bean Oat","1.78 ± 1.15 b","34.76 ± 5.93 a","121.81 ± 41.64 ab"
"6","Compost","Fallow","5.63 ± 0.54 a","24.03 ± 6.41 a","135.2 ± 77.25 ab"
"7","Compost","Oat","2.37 ± 2.06 ab","26.12 ± 7.3 a","140.19 ± 106.08 ab"
"8","Compost","Radish","1.94 ± 2.1 ab","26.91 ± 3.86 a","157.73 ± 66.41 a"
"9","Compost","Radish Oat","3.15 ± 1.52 ab","22.87 ± 6.86 a","54.23 ± 11.42 bc"
"10","Control","All Mixture","4.41 ± 0.73 a","17.37 ± 5.52 a","50.92 ± 7.18 c"
"11","Control","Buckwheat","4.56 ± 0.73 a","15.81 ± 6.53 a","93.98 ± 22.25 bc"
"12","Control","Buckwheat Oat","2.64 ± 2.18 a","17.97 ± 3.19 a","114.39 ± 35.33 abc"
"13","Control","Faba Bean","4.46 ± 1.35 a","20.13 ± 12.25 a","85.74 ± 18.13 bc"
"14","Control","Faba Bean Oat","2.55 ± 1.63 a","16.84 ± 7.55 a","172.11 ± 65.57 a"
"15","Control","Fallow","5.11 ± 0.43 a","16.1 ± 11.24 a","113.52 ± 60.37 abc"
"16","Control","Oat","3.55 ± 1.74 a","16.69 ± 6.87 a","137.76 ± 71 ab"
"17","Control","Radish","5.36 ± 0.76 a","17.26 ± 5.32 a","79.7 ± 38.23 bc"
"18","Control","Radish Oat","4.24 ± 1.95 a","19.56 ± 3.32 a","84.31 ± 28.92 bc"
"19","Inorganic Fertilizer","All Mixture","5.24 ± 0.55 a","18.46 ± 5.8 a","47.38 ± 8.51 c"
"20","Inorganic Fertilizer","Buckwheat","4.74 ± 0.72 a","18.34 ± 6.37 a","69.59 ± 21.34 bc"
"21","Inorganic Fertilizer","Buckwheat Oat","1.11 ± 0.17 c","17.54 ± 5.36 a","112.5 ± 41.78 abc"
"22","Inorganic Fertilizer","Faba Bean","3.4 ± 1.72 abc","24.82 ± 13.1 a","75.6 ± 29.72 bc"
"23","Inorganic Fertilizer","Faba Bean Oat","1.93 ± 2.06 bc","19.59 ± 6.92 a","151.71 ± 70.61 a"
"24","Inorganic Fertilizer","Fallow","1.04 ± 0.68 c","19.04 ± 14.54 a","121.92 ± 77.97 ab"
"25","Inorganic Fertilizer","Oat","4.34 ± 1.62 ab","16.89 ± 6.56 a","120.79 ± 23.69 ab"
"26","Inorganic Fertilizer","Radish","1.5 ± 0.52 c","18.25 ± 6.27 a","80.64 ± 24.88 bc"
"27","Inorganic Fertilizer","Radish Oat","4.91 ± 0.22 a","17.44 ± 6.54 a","55.82 ± 13.26 bc"
