"","cbio","available_p_cumsum","reserve_p_cumsum","fixed_p_cumsum","organic_p_cumsum","total_p_cumsum","bg_cumsum","phos_cumsum","nag_cumsum","ag_cumsum","lap_cumsum","abts_cumsum"
"cbio",1,0.189516562598399,0.299990310901373,-0.266963447945628,0.116901795455434,-0.0111715026373793,0.597084306304166,0.569938737064925,0.534311101008415,0.570603707460007,0.618023485189307,-0.315920046143562
"available_p_cumsum",0.189516562598399,1,0.732402029262554,-0.423277700169105,0.71890302183663,0.715991471215352,0.343489449305198,0.381192559370635,0.360694066612749,0.130093375487097,0.391750606573046,0.199352988750827
"reserve_p_cumsum",0.299990310901373,0.732402029262554,1,-0.433688699360341,0.590000735240056,0.603235056245864,0.435335637085508,0.441452834350415,0.295492978457466,0.272141754282773,0.385486361296964,0.0206896551724138
"fixed_p_cumsum",-0.266963447945628,-0.423277700169105,-0.433688699360341,1,-0.236938460407323,0.140680832291743,-0.114653334313653,-0.306698036909051,-0.198735387103889,-0.0790088964046761,-0.123711491802073,0.172149106683332
"organic_p_cumsum",0.116901795455434,0.71890302183663,0.590000735240056,-0.236938460407323,1,0.81630762443938,0.457745753988677,0.510888905227557,0.550562458642747,0.326667156826704,0.471332990221307,0.164767296522315
"total_p_cumsum",-0.0111715026373793,0.715991471215352,0.603235056245864,0.140680832291743,0.81630762443938,1,0.301580766120138,0.24408499375046,0.30881552826998,0.129916917873686,0.317550180133814,0.317403132122638
"bg_cumsum",0.597084306304166,0.343489449305198,0.435335637085508,-0.114653334313653,0.457745753988677,0.301580766120138,1,0.871421219028013,0.852393206381884,0.933593118153077,0.901977795750313,-0.238497169325785
"phos_cumsum",0.569938737064925,0.381192559370635,0.441452834350415,-0.306698036909051,0.510888905227557,0.24408499375046,0.871421219028013,1,0.861421954268069,0.828836114991545,0.876773766634806,-0.227380339680906
"nag_cumsum",0.534311101008415,0.360694066612749,0.295492978457466,-0.198735387103889,0.550562458642747,0.30881552826998,0.852393206381884,0.861421954268069,1,0.814660686714212,0.877009043452687,-0.196412028527314
"ag_cumsum",0.570603707460007,0.130093375487097,0.272141754282773,-0.0790088964046761,0.326667156826704,0.129916917873686,0.933593118153077,0.828836114991545,0.814660686714212,1,0.841482243952651,-0.288816998750092
"lap_cumsum",0.618023485189307,0.391750606573046,0.385486361296964,-0.123711491802073,0.471332990221307,0.317550180133814,0.901977795750313,0.876773766634806,0.877009043452687,0.841482243952651,1,-0.0994779795603264
"abts_cumsum",-0.315920046143562,0.199352988750827,0.0206896551724138,0.172149106683332,0.164767296522315,0.317403132122638,-0.238497169325785,-0.227380339680906,-0.196412028527314,-0.288816998750092,-0.0994779795603264,1
