"","ftrt","phos_pool","ctrt","label"
"1","Compost","unavp","Radish","a"
"2","Compost","unavp","Oat","a"
"3","Compost","unavp","Faba Bean Oat","a"
"4","Compost","unavp","Fallow","a"
"5","Compost","unavp","Faba Bean","a"
"6","Compost","unavp","Buckwheat Oat","a"
"7","Compost","unavp","Radish Oat","a"
"8","Compost","unavp","Buckwheat","a"
"9","Compost","unavp","All Mixture","a"
"10","Control","unavp","Faba Bean Oat","a"
"11","Control","unavp","Oat","ab"
"12","Control","unavp","Fallow","abc"
"13","Control","unavp","Buckwheat Oat","abc"
"14","Control","unavp","Buckwheat","bcd"
"15","Control","unavp","Radish Oat","bcd"
"16","Control","unavp","Faba Bean","bcd"
"17","Control","unavp","Radish","cd"
"18","Control","unavp","All Mixture","d"
"19","Inorganic Fertilizer","unavp","Faba Bean Oat","a"
"20","Inorganic Fertilizer","unavp","Fallow","ab"
"21","Inorganic Fertilizer","unavp","Buckwheat Oat","abc"
"22","Inorganic Fertilizer","unavp","Oat","bc"
"23","Inorganic Fertilizer","unavp","Faba Bean","cd"
"24","Inorganic Fertilizer","unavp","Buckwheat","cd"
"25","Inorganic Fertilizer","unavp","Radish","cd"
"26","Inorganic Fertilizer","unavp","Radish Oat","d"
"27","Inorganic Fertilizer","unavp","All Mixture","d"
