"","ctrt","ftrt","available_p_summary","reserve_p_summary","fixed_p_summary","organic_p_summary"
"1","All","Compost","2.22 ± 0.24","5.28 ± 0.43","-1.12 ± 0.64","10.61 ± 0.45"
"2","Faba","Compost","0.67 ± 0.07","1.9 ± 0.06","0.58 ± 0.18","3.89 ± 0.29"
"3","Faba Oat","Compost","1.76 ± 0.12","4.18 ± 0.24","0.79 ± 1.09","9.25 ± 0.53"
"4","Oat","Compost","1.26 ± 0.09","3.6 ± 0.14","0.9 ± 0.59","8.35 ± 0.85"
"5","Radish","Compost","1.67 ± 0.21","2.86 ± 0.25","-0.04 ± 0.46","7.85 ± 1.06"
"6","All","Control","0.93 ± 0.06","2.65 ± 0.05","0.08 ± 0.13","5.75 ± 0.15"
"7","Faba","Control","0.7 ± 0.07","1.71 ± 0.03","0.02 ± 0.09","3.44 ± 0.13"
"8","Faba Oat","Control","0.73 ± 0.05","2.45 ± 0.09","0.13 ± 0.16","4.93 ± 0.16"
"9","Oat","Control","1.41 ± 0.12","4.65 ± 0.15","0.8 ± 0.21","9.4 ± 0.18"
"10","Radish","Control","0.94 ± 0.07","2.66 ± 0.09","0.11 ± 0.18","5.74 ± 0.17"
