time,ctrt,ftrt,pbic,amac,edta`,pfix,ptot,porg
T1,All,Control,25.74525745,61.18731646,55.08474576,-31.84782815,329.55,274.4652542
T1,All,Control,57.99762046,62.09836066,81.56779661,-38.52818451,344.45,262.8822034
T1,All,Control,30.13016628,58.76175607,141.4636299,52.57170759,355.05,213.5863701
T1,Faba Oat,Control,9.444963788,54.11508866,87.92372881,24.36367637,356.5,268.5762712
T1,Faba Oat,Control,21.11118574,56.95210395,83.89830508,5.835015397,321.25,237.3516949
T1,Faba Oat,Control,8.824509221,49.60655738,111.2288136,52.79774696,320.55,209.3211864
T1,Radish,Control,52.49851279,64.11007026,269.279661,152.671078,346.15,76.87033898
T1,Radish,Control,15.80691765,53.90753751,63.15189048,-6.562564679,310.2,247.0481095
T1,Radish,Control,14.74256875,51.76777215,62.5,-4.010340897,310.7,248.2
T1,Faba,Control,71.32897085,60.00624512,118.5625815,-12.77263448,335.65,217.0874185
T1,Faba,Control,90.16151573,62.59370779,112.5,-40.25522352,365.05,252.55
T1,Faba,Control,46.11767372,62.69903225,134.180791,25.36408499,311.2,177.019209
T1,Oat,Control,12.74987489,44.28738709,66.94915254,9.911890567,321.1,254.1508475
T1,Oat,Control,9.621653778,50.26229508,113.3474576,53.46350877,307.15,193.8025424
T1,Oat,Control,12.72036675,51.70346827,174.3644068,109.9405718,313.95,139.5855932
T1,Control,Control,12.57822725,39.31615925,83.05084746,31.15646096,306.1,223.0491525
T1,Control,Control,10.80233799,49.64034794,136.2288136,75.78612763,305.1,168.8711864
T1,Control,Control,10.36561759,43.17683357,248.1258149,194.5833637,313.45,65.32418514
T2,All,Control,32.0599983,52.64674176,68.00847458,-16.69826548,309.2,241.1915254
T2,All,Control,22.13206425,1.133489461,68.24478488,44.97923117,326.05,257.8052151
T2,All,Control,18.6876859,62.62763466,68.00847458,-13.30684598,331.6,263.5915254
T2,Faba Oat,Control,29.2825699,70.15456674,37.73834746,-61.69878918,293.85,256.1116525
T2,Faba Oat,Control,41.35043465,76.45236836,103.2838983,-14.5189047,331.45,228.1661017
T2,Faba Oat,Control,13.12942565,61.83425247,71.06285311,-3.900825012,310.45,239.3871469
T2,Radish,Control,23.36942296,58.28103044,85.96805737,4.317603964,349.8,263.8319426
T2,Radish,Control,19.89982921,64.20922414,50.11408083,-33.99497252,347.65,297.5359192
T2,Radish,Control,60.57622191,82.87376294,112.7118644,-30.73812044,338.75,226.0381356
T2,Faba,Control,33.21275738,71.03195588,134.9576271,30.71291386,368.95,233.9923729
T2,Faba,Control,23.88171403,58.58106066,95.33898305,12.87620836,316.6,221.2610169
T2,Faba,Control,13.20430016,55.69495558,102.5423729,33.64311714,318.15,215.6076271
T2,Oat,Control,19.88183877,66.40949611,150.4237288,64.13239394,329.6,179.1762712
T2,Oat,Control,17.16429185,66.22430393,95.33898305,11.95038727,318.45,223.1110169
T2,Oat,Control,13.38132064,54.51522248,82.20338983,14.30684671,307.2,224.9966102
T2,Control,Control,12.45330161,51.23653396,82.09745763,18.40762206,299.6,217.5025424
T2,Control,Control,14.33478536,47.29168241,62.45586158,0.82939381,296.65,234.1941384
T2,Control,Control,17.20560324,51.33173488,73.30508475,4.767746625,301.4,228.0949153
T3,All,Control,28.65475954,51.32244154,115.4661017,35.48890061,329.9,214.4338983
T3,All,Control,18.1522903,49.79859485,88.77118644,20.82030129,306.8,218.0288136
T3,All,Control,24.96114064,54.26550578,136.2288136,57.00216714,360.75,224.5211864
T3,Faba Oat,Control,41.27247606,73.10002266,157.2033898,42.83089111,365.4,208.1966102
T3,Faba Oat,Control,11.90007868,48.52402357,128.6016949,68.17759267,315.1,186.4983051
T3,Faba Oat,Control,14.48470572,46.99422074,143.220339,81.74141252,335.35,192.129661
T3,Radish,Control,29.77658268,53.60920148,142.3728814,58.9870972,360.1,217.7271186
T3,Radish,Control,34.82195972,50.23512137,153.1779661,68.12088501,359.6,206.4220339
T3,Radish,Control,33.99573194,52.07984833,179.4491525,93.37357227,364.95,185.5008475
T3,Faba,Control,38.64031236,60.87598974,194.0677966,94.55149451,330.8,136.7322034
T3,Faba,Control,24.20493282,58.66882272,127.1186441,44.24488853,314.6,187.4813559
T3,Faba,Control,56.46322578,49.71469462,186.0169492,79.83902875,351.3,165.2830508
T3,Oat,Control,10.45449137,40.73067916,103.3898305,52.20465997,318.8,215.4101695
T3,Oat,Control,56.42781602,61.61016319,155.720339,37.68235977,332.4,176.679661
T3,Oat,Control,16.42167681,53.14648334,155.5084746,85.94031443,343.5,187.9915254
T3,Control,Control,2.923665996,47.12185421,171.6101695,121.5646493,326.75,155.1398305
T3,Control,Control,7.332181336,50.3884614,136.0169492,78.29630642,311.6,175.5830508
T3,Control,Control,10.42474717,44.72131148,152.7542373,97.60817863,311.95,159.1957627
Baseline,All,Control,9.413444378,41.75175644,261.8644068,210.699206,323.05,61.18559322
Baseline,Faba Oat,Control,9.0743605,53.08665105,344.4915254,282.3305139,323.4,-21.09152542
Baseline,Radish,Control,6.173120838,52.13133641,224.2910691,165.9866119,311.3,87.0089309
Baseline,Faba,Control,19.02082094,58.87119438,82.62711864,4.735103324,288.4,205.7728814
Baseline,Oat,Control,6.986317668,55.77985948,129.325565,66.55938782,311.1,181.774435
Baseline,Control,Control,9.801193606,53.52893405,142.7877825,79.45765483,299.8,157.0122175
