time,ftrt,pbic,amac,unavp,porg,bg,phos,nag,ag,lap,abts
T1,Compost,34.73274638,98.80897847,-9.45255715,230.4608323,45.74232985,30.91270227,9.583943463,-1.199846473,77.44948611,-2.832876396
T1,Compost,32.22276319,98.22019356,-19.12422175,220.731265,53.45900688,39.92530053,2.893007722,-0.844902054,82.78826058,-2.052233507
T1,Compost,32.8639591,102.2812643,-10.3048538,252.8096304,25.57633423,17.04988495,-0.11488476,-3.33768321,16.23981766,-2.326688743
T2,Compost,35.89686372,86.1454675,110.9711153,164.7365535,65.58163333,48.72318876,2.142433359,0.17803606,75.38423292,0.239990417
T2,Compost,31.83777519,88.14907718,205.2084601,85.3046875,145.4658559,74.7663083,35.8097958,27.17325053,256.0404958,-1.0491517
T2,Compost,36.22676384,83.69290559,154.5920494,103.8882813,56.29314328,50.02891711,7.802830531,0.257293404,91.30493159,0.903528444
T3,Compost,33.66202783,116.7659185,-3.60177443,287.7738281,61.39778901,65.64699379,4.584140011,2.603523623,89.01282333,1.191407625
T3,Compost,67.30183416,137.855016,15.69275924,354.9003906,63.51416346,55.98702045,2.6826976,3.422799604,69.63467937,0.469501891
T3,Compost,45.2638455,130.1328447,-1.6662214,298.4695313,63.54120515,79.95451778,8.758310486,2.769611157,100.1931724,0.961841912
T1,Control,24.90883272,77.32478241,24.32888487,179.5375,59.45713458,53.72360267,2.034000414,-2.457687081,86.66857511,-4.796848566
T1,Control,23.91095603,87.11344516,27.79395821,166.2816406,97.10334241,74.88730225,6.612096532,12.01156524,127.7804427,-1.394847678
T1,Control,23.70245646,80.79205113,55.98100321,152.9744892,64.38325719,78.21084264,2.225190031,-0.603928272,122.0175285,-1.651744555
T2,Control,24.84919057,88.98305085,16.98644348,168.7813151,70.2543699,51.75288553,2.704440473,1.452382968,86.79206574,3.749600894
T2,Control,25.89990014,85.43843187,14.95357879,170.3580892,53.72836183,44.02901493,3.614422295,-0.242636751,61.25621362,0.485179419
T2,Control,26.96801053,88.76764173,8.58075404,177.0835938,82.5004438,81.51917441,15.24554415,3.686214346,118.1890911,-0.399523524
T3,Control,20.1495111,84.65032829,42.17281691,179.7773438,86.7172687,74.34397906,12.83669937,5.459961923,114.2541246,5.510724548
T3,Control,22.25422972,87.84510903,28.67019255,172.8304688,73.05548816,66.88060837,6.815792249,3.149610851,99.70887536,4.729827293
T3,Control,23.88071571,82.61108566,36.13515173,169.3230469,74.96295103,57.3664428,5.243391296,3.365042619,88.95118427,4.956832165
